PUBLICATION_DATE,UID,AGGR_ECO3_2015,AGGR_ECO9_2015,ATHSTUDY,BENT,COMID,DATE_BENT,DATE_FISH,ELEV,EPA_REG,FCODE,FISH,GNIS_NAME,HUC8,INDEXVIS_BUG,INDEXVIS_FISH,LAT_DD83,LOC_NAME,LON_DD83,LOTIC_CLS,MISS_SUB,NACEC_ECO,NAWQA_REG,PROB_SITE,RT_NRSA,RT_NRSA_AH,RT_NRSA_FISH,RT_WSA,SITE_CLASS,SITE_ID,STATE,STRAHLERORDER,STRMNAME,URBAN,US_L3CODE_2015,US_L4CODE_2015,VISIT_NO,WSAREA_NARS,XALB83,XELEV,XLAT_DD,XLON_DD,YALB83,YEAR
9/1/2015,5000000,PLNLOW,CPL,AL-STATE,Y,,5/10/2000,,77,4,,N,,3150201,Y,0,32.6265,BUCK CREEK,-86.86933333,WADEABLE,,Southeastern Plains,SAGT,N,R,R,,B,HAND,AL:BCKA-26,AL,,BUCK CREEK,NonUrban,65,65i,1,57.6,850649.9086,158.75,32.6265,86.869333,1102518.856,2000
9/1/2015,5000001,PLNLOW,CPL,AL-STATE,Y,3435394,5/15/2000,,116,4,46006,N,Adams Branch,3130003,Y,0,32.42469444,BRUSH CREEK,-85.26066667,WADEABLE,,Southeastern Plains,SAGT,N,R,R,,B,HAND,AL:BCR-1,AL,3rd,BRUSH CREEK,NonUrban,65,65i,1,33.67,1002467.163,104.43,32.424694,85.260667,1095820.549,2000
9/1/2015,5000002,EHIGH,SAP,AL-STATE,Y,15820781,6/14/2000,,345.9,4,46006,N,Bear Creek,3150105,Y,0,34.38094444,BEAR CREEK,-85.69788889,WADEABLE,,Southwestern Appalachians,SAGT,N,R,R,,B,HAND,AL:BERD-9,AL,3rd,BEAR CREEK,NonUrban,68,68d,1,29.61,938183.9162,348.99,34.380944,85.697889,1308462.13,2000
9/1/2015,5000003,PLNLOW,CPL,AL-STATE,Y,18630368,6/8/1995,,52,4,46006,N,Blubber Creek,3160106,Y,0,33.14725,BLUBBER CREEK,-88.17052778,WADEABLE,,Southeastern Plains,SAGT,N,R,R,,R,HAND,AL:BLBP-1,AL,2nd,BLUBBER CREEK,NonUrban,65,65i,1,43.37,724940.8551,53.78,33.14725,88.170528,1149608.866,1995
9/1/2015,5000004,EHIGH,SAP,AL-STATE,Y,18578885,6/3/1998,,218.1,4,46006,N,Blevens Creek,3160110,Y,0,34.26736111,BLEVENS CREEK,-87.07761111,WADEABLE,,Southwestern Appalachians,SAGT,N,R,R,,R,HAND,AL:BLVC-1,AL,2nd,BLEVENS CREEK,NonUrban,68,68d,1,23.14,814125.1568,217.85,34.267361,87.077611,1283107.267,1998
9/1/2015,5000005,PLNLOW,CPL,AL-STATE,Y,789204,5/28/1998,,43,4,46006,N,Bear Creek,3140104,Y,0,31.03755556,BEAR CREEK,-86.71261111,WADEABLE,,Southeastern Plains,SAGT,N,R,R,,B,HAND,AL:BRE-1,AL,3rd,BEAR CREEK,NonUrban,65,65f,1,69.93,882472.9885,40.32,31.037556,86.712611,927798.4965,1998
9/1/2015,5000006,PLNLOW,CPL,AL-STATE,Y,2188887,9/30/1997,,91,4,46006,N,Bear Creek,3140201,Y,0,31.20769444,BEAR CREEK,-85.54619444,WADEABLE,,Southeastern Plains,SAGT,N,R,R,,B,HAND,AL:BRH-1,AL,3rd,BEAR CREEK,NonUrban,65,65g,1,62.16,990804.12,63.93,31.207694,85.546194,958118.4806,1997
9/1/2015,5000007,PLNLOW,CPL,AL-STATE,Y,18627182,6/7/1995,,82,4,46006,N,Bear Creek,3160106,Y,0,33.36961111,BEAR CREEK,-87.90363889,WADEABLE,,Southeastern Plains,SAGT,N,R,R,,R,HAND,AL:BRP-1,AL,3rd,BEAR CREEK,NonUrban,65,65i,1,37.54,747481.1575,81.25,33.369611,87.903639,1176414.87,1995
9/1/2015,5000008,EHIGH,SAP,AL-STATE,Y,19645580,5/19/1998,,400.2,4,46006,N,Jones Creek,6030001,Y,0,34.64658333,BRYANT CREEK,-85.84302778,WADEABLE,,Southwestern Appalachians,SAGT,N,R,R,,R,HAND,AL:BYTJ-1,AL,3rd,BRYANT CREEK,NonUrban,68,68d,1,108.14,921848.4137,404,34.646583,85.843028,1336575.503,1998
9/1/2015,5000009,EHIGH,SAP,AL-STATE,Y,22205115,5/12/1998,,232,4,46006,N,Cheaha Creek,3150106,Y,0,33.45877778,CHEAHA CREEK,-85.87372222,WADEABLE,,Piedmont,SAGT,N,R,R,,R,HAND,AL:CHE-1,AL,2nd,CHEAHA CREEK,NonUrban,45,45d,1,19.1,933192.0022,233.18,33.458778,85.873722,1204277.301,1998
