"Survey","Indicator","Data","Metadata","data_link"
"Lakes 2007","All","NLA 2007 All Data (ZIP)(1 pg, 5 MB)","","https://www.epa.gov/sites/production/files/2017-02/nla2007_alldata.zip"
"Lakes 2007","Landscape Data","NLA 2007 Basin Landuse Metrics - Data 20061022 (CSV)(1 pg, 307 K)","NLA 2007 Basin Landuse Metrics - Metadata 20091022 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2013-09/nla2007_basin_landuse_metrics_20061022.csv"
"Lakes 2007","Water Chemistry","NLA 2007 Profile - Data 20091008 (CSV)(1 pg, 888 K)","NLA 2007 Profile - Metadata 20091008 (TXT)(1 pg, 650 B)","https://www.epa.gov/sites/production/files/2013-09/nla2007_profile_20091008.csv"
"Lakes 2007","Visual Assessment","NLA 2007 Visual Assessment - Data 20091015 (CSV)(1 pg, 813 K)","NLA 2007 Visual Assessment - Metadata 10091015 (TXT)(1 pg, 7 K)","https://www.epa.gov/sites/production/files/2014-01/nla2007_visualassessment_20091015.csv"
"Lakes 2007","Site Information","NLA 2007 Site Information - Data 20091113 (CSV)(1 pg, 980 K)","NLA 2007 Site Information - Metadata 20091113 (TXT)(1 pg, 8 K)","https://www.epa.gov/sites/production/files/2014-01/nla2007_sampledlakeinformation_20091113.csv"
"Lakes 2007","Notes","National Lakes Assessment 2007 Final Data Notes","","https://www.epa.gov/national-aquatic-resource-surveys/national-lakes-assessment-2007-final-data-notes"
"Lakes 2007","Landscape Data","NLA 2007 Buffer Landuse Metrics - Data 20091022 (CSV)(1 pg, 273 K)","NLA 2007 Buffer Landuse Metrics - Metadata 20091022 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_buffer_landuse_metrics_20091022.csv"
"Lakes 2007","Landscape Data","NLA 2007 Lake Polygon Shapefile (ZIP)(1 pg, 9 MB)","","https://www.epa.gov/sites/production/files/2017-10/national_lakepoly_withmetrics_20090929.zip"
"Lakes 2007","Landscape Data","NLA 2007 Basin Shapefile (ZIP)(1 pg, 14 MB)","","https://www.epa.gov/sites/production/files/2017-10/nla2007_basins.zip"
"Lakes 2007","Benthic Macroinvertebrates","NLA 2007 Benthic Condition - Data (CSV)(1 pg, 119 K)","NLA 2007 Benthic Condition - Metadata (TXT)(1 pg, 1 K)","https://www.epa.gov/sites/production/files/2016-12/nla2007_bentcond_08232016.csv"
"Lakes 2007","Benthic Macroinvertebrates","NLA 2007 Benthic Metrics - Data (CSV)(1 pg, 749 K)","NLA 2007 Benthic Metrics - Metadata (TXT)(1 pg, 13 K)","https://www.epa.gov/sites/production/files/2016-12/nla2007_bentmet.csv"
"Lakes 2007","Benthic Macroinvertebrates","NLA 2007 Benthic Count - Data (CSV)(1 pg, 7 MB)","NLA 2007 Benthic Count - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2016-12/nla2007_wide_benthic_08092016.csv"
"Lakes 2007","Water Chemistry","NLA 2007 Chemical Condition Estimates - Data 20091123 (CSV)(1 pg, 537 K)","NLA 2007 Chemical Condition Estimates - Metadata 20091123 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_chemical_conditionestimates_20091123.csv"
"Lakes 2007","Dissolved Oxygen","NLA 2007 Mean DO Condition Estimate - Data 20091123 (CSV)(1 pg, 366 K)","NLA 2007 Mean DO Condition Estimate - Metadata 20091123 (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_meando_conditionestimate_20091123.csv"
"Lakes 2007","Dissolved Oxygen","NLA 2007 Mean DO - Data 20091007 (CSV)(1 pg, 31 K)","NLA 2007 Mean DO - Metadata 20091007 (RXT)(1 pg, 198 B)","https://www.epa.gov/sites/production/files/2014-10/nla2007_meando_data_20091007.csv"
"Lakes 2007","Physical Habitat","NLA 2007 PHab Index Values - Data (CSV)(1 pg, 722 K)","NLA 2007 PHab Index Values - Metadata 20091120 (TXT)(1 pg, 6 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_indexvalues.csv"
"Lakes 2007","Physical Habitat","NLA 2007 PHab Condition Estimates - Data 20091130 (CSV)(1 pg, 519 K)","NLA 2007 PHab Condition Estimates - Metadata 20091130 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_condtionestimates_20091130.csv"
"Lakes 2007","Physical Habitat","NLA 2007 PHab Metrics A - Data (CSV)(1 pg, 1 MB)","NLA 2007 PHab Metrics - Metadata 20091120 (TXT)(1 pg, 38 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_metrics_a.csv"
"Lakes 2007","Physical Habitat","NLA 2007 Phab Metrics B - Data (CSV)(1 pg, 2 MB)","NLA 2007 PHab Metrics - Metadata 20091120 (TXT)(1 pg, 38 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phab_metrics_b.csv"
"Lakes 2007","Phytoplankton","NLA 2007 Phytoplankton Soft Algae Count - Data 20091023 (CSV)(1 pg, 12 MB)","NLA 2007 Phytoplankton Soft Algae Count - Metadata 20091023 (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phytoplankton_softalgaecount_20091023.csv"
"Lakes 2007","Phytoplankton","NLA 2007 _Phytoplankton Diatom Count - Data 20091125 (CSV)(1 pg, 4 MB)","NLA 2007 Phytoplankton Diatom Count - Metadata 20091125 (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phytoplankton_diatomcount_20091125.csv"
"Lakes 2007","Phytoplankton","NLA 2007 Phytoplankton Sample Information - Data 20091023 (CSV)(1 pg, 223 K)","NLA 2007 Phytoplankton Sample Info - Metadata 20091023 (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_phytoplankton_sampleinfo_20091023.csv"
"Lakes 2007","Plankton","NLA 2007 Plankton O/E Model Analysis - Data 20091019 (CSV)(1 pg, 2 MB)","NLA 2007 Plankton O/E Model Analysis Data - Metadata 20091019 (TXT)(1 pg, 373 B)","https://www.epa.gov/sites/production/files/2014-10/nla2007_plankton_oemodel_analysisdata_20091019.csv"
"Lakes 2007","Plankton","NLA 2007 Plankton O/E Model - Valid Sites Used 20091021 (CSV)(1 pg, 131 K)","NLA 2007 Plankton O/E Model - Valid Sites Used - Metadata 20091021 (TXT)(1 pg, 1 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_plankton_oemodel_validsitesused_20091021.csv"
"Lakes 2007","Plankton","NLA 2007 Plankton O/E Model Condition Estimates 20091125 (CSV)(1 pg, 442 K)","NLA 2007 Plankton O/E Model Condition Estimates - Metadata 20091125 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_plankton_oemodel_conditionestimates_20091125.csv"
"Lakes 2007","Recreation","NLA 2007 Recreational Condition Estimates 20091123 (CSV)(1 pg, 517 K)","NLA 2007 Recreational Condition Estimates - Metadata 20091123 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_recreational_conditionestimates_20091123.csv"
"Lakes 2007","Secchi","NLA 2007 Secchi - Data 20091008 (CSV)(1 pg, 60 K)","NLA 2007 Secchi - Metadata 20091008 (TXT)(1 pg, 562 B)","https://www.epa.gov/sites/production/files/2014-10/nla2007_secchi_20091008.csv"
"Lakes 2007","Trophic Status","NLA 2007 Trophic Condition Estimate - Data 20091123 (CSV)(1 pg, 522 K)","NLA 2007 Trophic Condition Estimate - Metadata 20091123 (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2014-10/nla2007_trophic_conditionestimate_20091123.csv"
"Lakes 2007","Water Isotope Variables","NLA 2007 Water Isotope Variables - Data (CSV)(1 pg, 118 K)","NLA 2007 Water Isotope Variables - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2018-08/nla2007_isotopes_wide.csv"
