YEAR,date,lat,lon,UID,SITE_ID,STATE,LOC_NAME,SITE_CLASS,AGGR_ECO3_2015,AGGR_ECO9_2015,ECO10,US_L3CODE_2015,US_L4CODE_2015,EPA_REG,WSAREA_NARS,tmean_day,ppt_day,tmean_year,ppt_year
2008,2008-06-03,32.89961947,-116.5887422,9832,FW08CA015,CA,Sweetwater River,PROB,WMTNS,WMT,MT-SWEST,8,8f,9,59.52799988,14.522000312805176,0,14.139750480651855,828.6400146484375
2008,2008-06-03,41.92147277,-119.4433402,10888,FW08NV012,NV,Catnip,PROB,WMTNS,XER,XE-NORTH,80,80g,9,9.799500465,8.142000198364258,0,5.284916400909424,207.16000366210937
2008,2008-06-03,41.9957489,-117.7707249,10928,FW08NV038,NV,McDermitt Creek,PROB,WMTNS,XER,XE-NORTH,80,80l,9,579.0079956,13.652000427246094,10.520000457763672,7.796500205993652,118.8499984741211
2008,2008-06-04,33.7605511,-116.5497488,9830,FW08CA001,CA,Andreas Canyon,PROB,WMTNS,XER,XE-SOUTH,81,81e,9,22.60350037,25.63300132751465,0,22.44904136657715,181.8300018310547
2008,2008-06-04,41.77179727,-117.8060453,10896,FW08NV022,NV,Quinn River,PROB,WMTNS,XER,XE-SOUTH,13,13z,9,2500.639893,10.515000343322754,5.46999979019165,8.603541374206543,152.8199920654297
2008,2008-06-05,41.3973601,-117.4646693,10897,FW08NV026,NV,Little Humboldt River,PROB,WMTNS,XER,XE-SOUTH,13,13z,9,2648.439941,7.465000152587891,0,8.835208892822266,175.5
2008,2008-06-05,41.77125165,-117.3829874,10979,FW08NV039,NV,Little Humboldt Creek,PROB,WMTNS,XER,XE-NORTH,80,80g,9,90.37999725,4.694000244140625,3.549999952316284,6.776166915893555,403.95001220703125
2008,2008-06-10,38.32750793,-114.2774604,10885,FW08NV009,NV,Water Canyon,PROB,WMTNS,XER,XE-SOUTH,13,13d,9,1.742740035,13.872000694274902,0,7.409083366394043,365.3800048828125
2008,2008-06-10,36.6417447,-114.5318165,10901,FW08NV032,NV,Muddy River,PROB,WMTNS,XER,XE-SOUTH,14,14e,9,15404.2998,27.30000114440918,0,19.976333618164062,107.69999694824219
2008,2008-06-11,39.21428861,-114.5413454,10899,FW08NV029,NV,Cleve Creek,PROB,WMTNS,XER,XE-SOUTH,13,13p,9,82.77269745,12.50100040435791,0,7.920249938964844,148.63999938964844
2008,2008-06-11,38.85858259,-115.6673318,10918,FW08NV033,NV,Duckwater Creek,PROB,WMTNS,XER,XE-SOUTH,13,13u,9,470.3080139,15.54900074005127,0,9.252041816711426,108.83000183105469
2008,2008-06-11,40.26612178,-81.87411348,12436,FW08OH017,OH,Muskingum River,PROB,EHIGH,SAP,NA,70,70e,5,12566.90039,20.06100082397461,5.210000038146973,10.245583534240723,1166.0400390625
2008,2008-06-12,39.21792949,-117.0595203,10872,FW08NV005,NV,Kingston Canyon,PROB,WMTNS,XER,XE-SOUTH,13,13r,9,82.59929657,9.544000625610352,0,8.041666984558105,112.25
2008,2008-06-12,38.4925,-96.583333,12758,FW08RKS9002,KS,Palmer Creek,HAND,PLNLOW,TPL,NA,28,28a,7,13.01710033,23.48200035095215,0.6600000262260437,11.372875213623047,1013.5900268554687
2008,2008-06-16,40.31657757,-116.901529,10854,FW08NV003,NV,Middle Fork Mill Creek,PROB,WMTNS,XER,XE-SOUTH,13,13s,9,5.284049988,17.849000930786133,0,7.877708435058594,378.67999267578125
2008,2008-06-16,36.03834837,-99.9304572,13060,FW08OK010,OK,Commission Creek,PROB,PLNLOW,SPL,PL-RANGE,26,26a,6,120.3789978,27.110000610351563,0.28999999165534973,14.227624893188477,615.3800048828125
2008,2008-06-16,43.29503619,-104.834503,12216,FW08WY032,WY,Cow Creek,PROB,PLNLOW,NPL,PL-RANGE,43,43w,8,146.352005,17.190000534057617,0,7.672333240509033,402.6000061035156
2008,2008-06-17,46.74136434,-101.4838374,12034,FW08ND056,ND,Hailstone Creek,PROB,PLNLOW,NPL,PL-RANGE,43,43a,8,351.2980042,16.11600112915039,0,5.221250057220459,448.739990234375
2008,2008-06-17,41.40884387,-118.9109046,10898,FW08NV028,NV,Battle Creek,PROB,WMTNS,XER,XE-NORTH,80,80g,9,50.32310104,19.73900032043457,0,8.945416450500488,244.47999572753906
2008,2008-06-17,40.68600234,-116.7624855,10926,FW08NV035,NV,Rock Creek,PROB,WMTNS,XER,XE-SOUTH,13,13z,9,2945.320068,22.303001403808594,0,10.370291709899902,180.25
2008,2008-06-17,35.54538909,-99.72270535,13067,FW08OK060,OK,Sergeant Major Creek,PROB,PLNLOW,SPL,NA,27,27q,6,10.40799999,24.667001724243164,5.150000095367432,14.883417129516602,764.739990234375
